Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2016-11-14 00:00:00;2016;BMW;16BM118;340i xDrive Touring LCI;486000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM119;418d Coupé;369200;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM120;418d Gran Coupé;356000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM121;420d Cabriolet;468000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM122;420d Coupé;383500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM123;420d Gran Coupé;371000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM124;420d xDrive Coupé;403500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM125;420d xDrive Gran Coupé;391000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM126;420i Cabriolet;448000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM127;420i Coupé;356000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM128;420i Gran Coupé;355000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM129;420i xDrive Coupé;376000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM130;420i xDrive Gran Coupé;375000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM131;428i Cabriolet;472500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM132;428i Coupé;388000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM133;428i Gran Coupé;385000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM134;428i xDrive Cabriolet;513500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM135;428i xDrive Coupé;408000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM136;428i xDrive Gran Coupé;405000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM137;430d Cabriolet;567500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM138;430d Coupé;483000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM139;430d Gran Coupé;480000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM140;430d xDrive Coupé;503000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM141;430d xDrive Gran Coupé;500000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM288;430i Cabriolet;476000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM289;430i Coupé;391500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM290;430i Gran Coupé;388500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM291;430i xDrive Cabriolet;517000;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM292;430i xDrive Coupé;432500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM293;430i xDrive Gran Coupé;429500;Bensin;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM142;435d xDrive Cabriolet;615500;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM143;435d xDrive Coupé;531000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM144;435d xDrive Gran Coupé;528000;Diesel;;
Personbil;2016-11-14 00:00:00;2016;BMW;16BM145;435i Cabriolet;561500;Bensin;;
