Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2014-11-14 00:00:00;2014;BMW;14BM014;118d 5d Advantage Edition;249400;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM015;118d xDrive 3d;266000;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM016;118d xDrive 5d;273500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM017;118d xDrive 5d Advantage Edition;268500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM018;118i 3d;261000;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM019;118i 5d;268500;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM020;120d 3d;274000;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM021;120d 5d;281500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM022;120d 5d Advantage Edition;276200;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM023;120d xDrive 3d;294000;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM024;120d xDrive 5d;301500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM025;120d xDrive 5d Advantage Edition;295300;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM026;125d 3d;318000;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM027;125d 5d;325500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM028;125i 3d;277000;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM029;125i 5d;284500;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM259;218d Active Tourer;261000;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM232;218d Coupé;273500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM260;218i Active Tourer;232000;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM233;220d Coupé;301500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM234;220i Coupé;288500;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM235;225d Coupé;365500;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM261;225i Active Tourer;329900;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM030;316d Sedan;290000;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM031;316d Touring;304900;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM032;316i Sedan;268000;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM033;316i Touring;282900;Bensin;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM034;318d Gran Turismo;330400;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM035;318d Gran Turismo Advantage Edition;319900;Diesel;;
Personbil;2014-11-14 00:00:00;2014;BMW;14BM036;318d Sedan;301000;Diesel;;
