Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW548;Transporter 6 PICKUP DH dh 204hk tdi 4m 340;436900;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW549;Transporter 6 PICKUP DH dh 204hk tdi dsg 340;433400;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW550;Transporter 6 PICKUP EH 102hk 300;287500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW551;Transporter 6 PICKUP EH 102hk 340;295700;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW552;Transporter 6 PICKUP EH 150hk tdi 300;343200;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW553;Transporter 6 PICKUP EH 150hk tdi 340;350900;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW554;Transporter 6 PICKUP EH 150hk tdi 4m 300;374500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW555;Transporter 6 PICKUP EH 150hk tdi 4m 340;382100;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW556;Transporter 6 PICKUP EH 204hk tdi 4m 300;410900;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW557;Transporter 6 PICKUP EH 204hk tdi 4m 340;418500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW558;Transporter 6 PICKUP EH 204hk tdi dsg 300;404100;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW559;Transporter 6 PICKUP EH 204hk tdi dsg 340;412200;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW560;Transporter 6 PICKUP EH utan ram 150hk tdi;318700;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW570;Transporter 6 SKÅP 102hk 300;307000;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW563;Transporter 6 SKÅP  102hk 340;315200;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW571;Transporter 6 SKÅP 150hk tdi 300;330300;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW564;Transporter 6 SKÅP  150hk tdi 340;338300;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW572;Transporter 6 SKÅP 150hk tdi 4m 300;361700;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW565;Transporter 6 SKÅP  150hk tdi 4m 340;369700;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW566;Transporter 6 SKÅP  204hk tdi 4m 300;420500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW561;Transporter 6 SKÅP   204hk tdi 4m 340;428500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW567;Transporter 6 SKÅP  204hk tdi dsg 300;413400;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW562;Transporter 6 SKÅP   204hk tdi dsg 340;421500;Diesel;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW574;Transporter 6 SKÅP 204hk tsi dsg/4m 300;445100;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW569;Transporter 6 SKÅP  204hk tsi dsg/4m 340;453000;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW573;Transporter 6 SKÅP 204hk tsi dsg 300;404400;Bensin;;
LattLastbil;2018-11-16 00:00:00;2018;Volkswagen;18VW568;Transporter 6 SKÅP  204hk tsi dsg 340;412400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB001;124 Spider 1.4 Turbo 170hk;368900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB002;595 1,4 145hk;173900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB005;595C 1,4 145 hk;193900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB006;595C Competizione 1,4 180hk;251900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB003;595 Competizione 1,4 180hk;231900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB007;595C Turismo 1,4 165hk;227900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Abarth;18AB004;595 Turismo 1,4 165hk;207900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR001;4C Cupé 1750 Tbi 240 HK TCT;599990;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR002;4C Spider 1750 Tbi 240 HK TCT;694990;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR004;Giulia 2,2 150 hk MTX RWD;305000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR005;Giulia Advanced Efficiency 2,2 180hk ATX RWD;340000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR003;Giulia  Q 2.9T V6  510 HK ATX RWD;725000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR006;Giulia Super 2.0 T4 200 HK ATX  RWD;329000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR007;Giulia Super 2.2  180 HK ATX  RWD;335000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR008;Giulia Veloce 2.0  280 HK ATX  AWD;420000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR009;Giulietta Super 120hk;199900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR010;Giulietta Super 175hk TCT;249900;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR011;Giulietta Veloce 240hk TCT;279900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR012;Stelvio  2.2  150 HK AT8 RWD;363000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR013;Stelvio 2.2  210 HK AT8  AWD;399900;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR014;Stelvio Q 510 hk 2,9l V6 ATX AWD;814900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR015;Stelvio Super 2.0 200 HK AT8 AWD;430000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR016;Stelvio Super 2.0 280 HK AT8  AWD;475000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR017;Stelvio Super 2.2  180 HK AT8 AWD;430000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Alfa Romeo;18AR018;Stelvio Super 2.2  210 HK AT8  AWD;438000;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Aston Martin;18AM001;DB11 Coupe V12;2210000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Aston Martin;18AM002;DB11 Coupe V8;1940000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Aston Martin;18AM003;DB11 Volante V8;2095000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Aston Martin;18AM004;Vanquish Zagato;7600000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU001;A1 Sportback 1.0 TFSI 95 hk;173300;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU002;A1 Sportback 1.0 TFSI 95 hk Proline;189200;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU003;A1 Sportback 1.0 TFSI 95 hk Proline Sport;204800;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU004;A1 Sportback 1.0 TFSI 95 hk Sport;189300;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU005;A1 Sportback 1.4 TFSI 125 hk;190100;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU006;A1 Sportback 1.4 TFSI 125 hk Proline;206000;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU007;A1 Sportback 1.4 TFSI 125 hk Proline Sport;222900;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU008;A1 Sportback 1.4 TFSI 125 hk Sport;207400;Bensin;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU009;A1 Sportback 1.6 TDI 116 hk;205600;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU010;A1 Sportback 1.6 TDI 116 hk Proline;221500;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU011;A1 Sportback 1.6 TDI 116 hk Proline Sport;238400;Diesel;;
Personbil;2018-11-16 00:00:00;2018;Audi;18AU012;A1 Sportback 1.6 TDI 116 hk Sport;222900;Diesel;;
