Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI501;Berlingo Skåp e-HDi 90 hk;169200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI502;Berlingo Skåp HDi 115 hk;176700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI503;Berlingo Skåp HDi 75 hk;148600;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI504;Berlingo Skåp Lång e-HDi 90 hk;175500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI505;Jumper HDi 110 hk;235500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI506;Jumper HDi 130 hk;260500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI507;Jumper HDi 150 hk;301700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI508;Jumper HDi 180 hk;316500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI509;Jumpy HDi 125 hk;243600;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI510;Jumpy HDi 160 hk;271100;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI511;Jumpy HDi 90 hk;212300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Citroën;13CI512;Nemo Skåp HDi 75 hk;136100;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC507;Dokker van 1.2 TCe Ambiance;109800;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC508;Dokker van 1.5 dCi Ambiance;124800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC509;Dokker van 1.6;87300;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC501;Logan Pic-Up 1.5 dCi Ambiance;124800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC502;Logan Pic-Up 1.6;96100;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC503;Logan Pic-Up 1.6 Ambiance;106100;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC504;Logan Van 1.5 dCi Ambiance;124800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC505;Logan Van 1.6;96100;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Dacia;13DC506;Logan Van 1.6 Ambiance;106100;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI501;Dobló Elegant 1.3 MultiJet 90 hk;162300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI502;Dobló Elegant 1.4T CNG 120 hk, miljöbil;209200;Gas;13FI503;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI503;Dobló Elegant 1.6 MultiJet 105 hk;178600;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI504;Dobló Elegant 1.6 MultiJet 90 hk MTA;182300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI505;Dobló Elegant 2.0 MultiJet 135 hk;194200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI506;Dobló Flatbed Elegant 1.3 MultiJet 90 hk;156200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI507;Dobló Flatbed Elegant 1.6 MultiJet 105 hk;172500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI508;Dobló Flatbed Elegant 1.6 MultiJet 90 hk MTA;176200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI509;Dobló Flatbed Elegant 2.0 MultiJet 135 hk;188100;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI510;Dobló WorkUp Elegant 1.3 MultiJet 90 hk;200700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI511;Dobló WorkUp Elegant 1.6 MultiJet 105 hk;217000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI512;Dobló WorkUp Elegant 2.0 MultiJet 135 hk;232600;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI513;Ducato Chassi Dubbelhytt 2.3 MJT 130 hk;283600;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI514;Ducato Chassi Dubbelhytt 2.3 MJT 150 hk;298000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI515;Ducato Chassi Enkelhytt 2.0 MJT 115 hk;239800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI516;Ducato Chassi Enkelhytt 2.3 MJT 130 hk;259800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI517;Ducato Chassi Enkelhytt 2.3 MJT 150 hk;268000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI518;Ducato Chassi Enkelhytt 3.0 MJT 180 hk;299200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI519;Ducato Maxi 2.3 MJT 130 hk;282300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI520;Ducato Maxi 2.3 MJT 150 hk;296700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI521;Ducato Maxi 2.3 MJT 150 hk;290500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI522;Ducato Maxi 3.0 MJT 180 hk;315500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI523;Ducato Maxi 3.0 MJT 180 hk;309200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI524;Ducato Maxi Dubbelhytt 3.0 MJT 180 hk;323000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI525;Ducato Skåp 2.0 MJT 115 hk;236100;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI526;Ducato Skåp 2.3 MJT 130 hk;259800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI527;Ducato Skåp 2.3 MJT 150 hk;268000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI528;Ducato Skåp 3.0 MJT 180 hk;286700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI529;Fiorino Adventure Cargo 1.3 MJT 95 hk;153200;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI530;Fiorino Elegant Cargo 1.3 MJT 75 hk;143600;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI531;Fiorino Elegant Cargo 1.3 MJT 95 hk;147000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI532;Scudo Business 1.6 MJT 90 hk;214800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI533;Scudo Crew Cab Deluxe 2.0 MJT 130 hk 5 pers.;299800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI534;Scudo Deluxe 1.6 MJT 90 hk;237300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI535;Scudo Deluxe 2.0 MJT 130 hk;256100;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI536;Scudo Deluxe 2.0 MJT 163 hk;281100;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI537;Strada Adventure 1.3 MJT 95 hk;174800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI538;Strada Dubbelhytt Adventure 1.3 MJT 95 hk;183000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI539;Strada Trekking Kort hytt 1.3 MJT 95 hk;159800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Fiat;13FI540;Strada Working Kort hytt 1.3 MJT 95 hk;149800;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO501;Connect Skåp 220 Bas 1.8 TDCi 110 hk;184300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO502;Connect Skåp 220 Bas 1.8 TDCi 90 hk;174300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO503;Connect Skåp 220 Trend 1.8 TDCi 110 hk;199300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO504;Connect Skåp 220 Trend 1.8 TDCi 90 hk;189300;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO505;Fiesta Van Bas 1.25 82 hk;121000;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO506;Fiesta Van Bas 1.5 TDCi 75hk;133000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO507;Fiesta Van ECOnetic 1.6 TDCi 95 hk;154700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO508;Fiesta Van ECOnetic Trend 1.6 TDCi 95 hk;167700;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO509;Fiesta Van Sport 1.6 TDCi 95 hk;159500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO510;Fiesta Van Trend 1.25 82 hk;134000;Bensin;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO511;Fiesta Van Trend 1.5 TDCi 75 hk;146000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO512;Fiesta Van Trend 1.6 TDCi 95 hk;152000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO513;Ranger 4Dr Super Cab LIMITED 2.2 TDCi 150 hk 4X4;328000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO514;Ranger 4Dr Super Cab LIMITED 3.2 TDCi 200 hk 4X4;340500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO515;Ranger 4Dr Super Cab WILDTRAK 3.2 TDCi 200 hk 4X4;365500;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO516;Ranger 4Dr Super Cab XL 2.2 TDCi 150 hk 4X4;268000;Diesel;;
LattLastbil;2013-11-15 00:00:00;2013;Ford;13FO517;Ranger 4Dr Super Cab XLT 2.2 TDCi 150 hk 4X4;298000;Diesel;;
