Fordonstyp;FilSkapadDatum;Tillverkningsar;Marke;Kod;Modell;Nybilspris;BransleTyp;KodForJamforbarModell;Justering
Personbil;2015-11-13 00:00:00;2015;Audi;15AU058;A3 Sedan 2.0 TDI 150hk Sport;272200;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU059;A3 Sedan 2.0 TDI 150hk Sport styled;279500;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU060;A3 Sedan 2.0 TDI 150hk styled;264700;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU061;A3 Sedan 2.0 TDI 184hk quattro S tronic;321900;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU062;A3 Sedan 2.0 TDI 184hk quattro S tronic Sport;338400;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU063;A3 Sedan 2.0 TDI 184hk quattro S tronic Sport styled;345700;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU064;A3 Sedan 2.0 TDI 184hk quattro S tronic styled;330900;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU065;A3 Sportback 1.2 TFSI 110hk;218000;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU066;A3 Sportback 1.2 TFSI 110hk styled;227000;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU068;A3 Sportback 1.4 TFSI 125hk;224700;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU069;A3 Sportback 1.4 TFSI 125hk Sport;241200;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU070;A3 Sportback 1.4 TFSI 125hk styled;233700;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU071;A3 Sportback 1.4 TFSI 150hk ultra Sport;258400;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU072;A3 Sportback 1.4 TFSI 150hk ultra Sport styled;265700;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU076;A3 Sportback 1.4 TFSI e-tron S tronic, miljöbil;372500;Laddhybrid;15AU076;-60700
Personbil;2015-11-13 00:00:00;2015;Audi;15AU074;A3 Sportback 1.4 TFSI e-tron S tronic Sport, miljöbil;382300;Laddhybrid;15AU074;-53800
Personbil;2015-11-13 00:00:00;2015;Audi;15AU073;A3 Sportback 1.4 TFSI e-tron S tronic Sport styled, miljöbil;389600;Laddhybrid;15AU073;-81500
Personbil;2015-11-13 00:00:00;2015;Audi;15AU075;A3 Sportback 1.4 TFSI e-tron S tronic styled, miljöbil;381500;Laddhybrid;15AU075;-88400
Personbil;2015-11-13 00:00:00;2015;Audi;15AU079;A3 Sportback 1.4 TFSI g-tron 110hk, miljöbil;235900;Gas;15AU068;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU067;A3 Sportback 1.4 TFSI  g-tron 110hk Sport, miljöbil;252400;Gas;15AU069;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU077;A3 Sportback 1.4 TFSI g-tron 110hk Sport styled, miljöbil;259700;Gas;15AU077;-17900
Personbil;2015-11-13 00:00:00;2015;Audi;15AU078;A3 Sportback 1.4 TFSI g-tron 110hk styled, miljöbil;244900;Gas;15AU066;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU080;A3 Sportback 1.4 TFSI Sport 125hk styled;248500;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU350;A3 Sportback 1.6 TDI 110hk quattro;253800;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU351;A3 Sportback 1.6 TDI 110hk quattro Sport;270300;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU352;A3 Sportback 1.6 TDI 110hk quattro Sport styled;277900;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU353;A3 Sportback 1.6 TDI 110hk quattro styled;263100;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU081;A3 Sportback 1.6 TDI 110hk S tronic;257600;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU082;A3 Sportback 1.6 TDI 110hk S tronic styled;266600;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU083;A3 Sportback 1.6 TDI 110hk ultra;235900;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU084;A3 Sportback 1.6 TDI 110hk ultra styled;244900;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU085;A3 Sportback 1.8 TFSI Sport 180hk quattro S tronic;321200;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU086;A3 Sportback 1.8 TFSI Sport 180hk quattro S tronic styled;328500;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU087;A3 Sportback 2.0 TDI 150hk;247700;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU088;A3 Sportback 2.0 TDI 150hk quattro;264200;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU089;A3 Sportback 2.0 TDI 150hk quattro styled;273200;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU090;A3 Sportback 2.0 TDI 150hk styled;256700;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU091;A3 Sportback 2.0 TDI Sport 150hk;264200;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU092;A3 Sportback 2.0 TDI Sport 150hk quattro;280700;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU093;A3 Sportback 2.0 TDI Sport 150hk quattro styled;288000;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU094;A3 Sportback 2.0 TDI Sport 150hk styled;271500;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU095;A3 Sportback 2.0 TDI Sport 184hk quattro S tronic;330400;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU096;A3 Sportback 2.0 TDI Sport 184hk quattro S tronic styled;337700;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU097;A4 allroad 2.0 TDI 150hk quattro;348600;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU098;A4 allroad 2.0 TDI 150hk quattro Sports Edition;339800;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU099;A4 allroad 2.0 TDI 190hk quattro;361000;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU100;A4 allroad 2.0 TDI 190hk quattro Sports Edition;352200;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU101;A4 allroad 2.0 TFSI 225hk quattro S tronic;389900;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU102;A4 allroad 2.0 TFSI 225hk quattro S tronic Sports Edition;400400;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU103;A4 allroad 3.0 TDI 245hk quattro S tronic;477800;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU104;A4 allroad 3.0 TDI 245hk quattro S tronic Sports Edition;488300;Diesel;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU105;A4 Avant 1.8 TFSI 170hk;297900;Bensin;;
Personbil;2015-11-13 00:00:00;2015;Audi;15AU106;A4 Avant 1.8 TFSI 170hk quattro;315400;Bensin;;
